INIZIO_TRIM;FINE_TRIM;CATEGORIA_OPERAZIONI ;CLASSE_IMPORTO;TEGM;SOGLIA 2
01/01/2003;31/03/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;6,72;10,08
01/01/2003;31/03/2003;FACTORING;fino a 50.000 euro;7,74;11,61
01/01/2003;31/03/2003;FACTORING;oltre 50.000 euro;6,37;9,555
01/01/2003;31/03/2003;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;10,54;15,81
01/01/2003;31/03/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;20,36;30,54
01/01/2003;31/03/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;15,19;22,785
01/01/2003;31/03/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;20,31;30,465
01/01/2003;31/03/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;12,67;19,005
01/01/2003;31/03/2003;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;15,01;22,515
01/01/2003;31/03/2003;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;10,18;15,27
01/01/2003;31/03/2003;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;8,9;13,35
01/01/2003;31/03/2003;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;6,68;10,02
01/01/2003;31/03/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 1.500 euro;19,97;29,955
01/01/2003;31/03/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 1.500 fino a 5.000 euro;15,19;22,785
01/01/2003;31/03/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 5.000 euro;11,56;17,34
01/01/2003;31/03/2003;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;5,37;8,055
01/04/2003;30/06/2003;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;11,95;17,925
01/04/2003;30/06/2003;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,37;14,055
01/04/2003;30/06/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;7,39;11,085
01/04/2003;30/06/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;6,26;9,39
01/04/2003;30/06/2003;FACTORING;fino a 50.000 euro;7,1;10,65
01/04/2003;30/06/2003;FACTORING;oltre 50.000 euro;5,86;8,79
01/04/2003;30/06/2003;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;10,36;15,54
01/04/2003;30/06/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;19,62;29,43
01/04/2003;30/06/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;14,48;21,72
01/04/2003;30/06/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;20,13;30,195
01/04/2003;30/06/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;12,16;18,24
01/04/2003;30/06/2003;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;14,97;22,455
01/04/2003;30/06/2003;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;9,59;14,385
01/04/2003;30/06/2003;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;8,19;12,285
01/04/2003;30/06/2003;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,91;8,865
01/04/2003;30/06/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 1.500 euro;19,42;29,13
01/04/2003;30/06/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 1.500 fino a 5.000 euro;15,04;22,56
01/04/2003;30/06/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 5.000 euro;11,06;16,59
01/04/2003;30/06/2003;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;4,79;7,185
01/07/2003;30/09/2003;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,15;18,225
01/07/2003;30/09/2003;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,46;14,19
01/07/2003;30/09/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;7,46;11,19
01/07/2003;30/09/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;6,2;9,3
01/07/2003;30/09/2003;FACTORING;fino a 50.000 euro;6,94;10,41
01/07/2003;30/09/2003;FACTORING;oltre 50.000 euro;5,76;8,64
01/07/2003;30/09/2003;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;10,17;15,255
01/07/2003;30/09/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;19,34;29,01
01/07/2003;30/09/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;14,17;21,255
01/07/2003;30/09/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;20,1;30,15
01/07/2003;30/09/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;12,22;18,33
01/07/2003;30/09/2003;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;14,57;21,855
01/07/2003;30/09/2003;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;9,56;14,34
01/07/2003;30/09/2003;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;8,21;12,315
01/07/2003;30/09/2003;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;6,25;9,375
01/07/2003;30/09/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;18,26;27,39
01/07/2003;30/09/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;15,49;23,235
01/07/2003;30/09/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;11,26;16,89
01/07/2003;30/09/2003;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;4,53;6,795
01/10/2003;31/12/2003;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;11,9;17,85
01/10/2003;31/12/2003;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,26;13,89
01/10/2003;31/12/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;7,07;10,605
01/10/2003;31/12/2003;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;5,88;8,82
01/10/2003;31/12/2003;FACTORING;fino a 50.000 euro;6,51;9,765
01/10/2003;31/12/2003;FACTORING;oltre 50.000 euro;5,51;8,265
01/10/2003;31/12/2003;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;9,84;14,76
01/10/2003;31/12/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;18,55;27,825
01/10/2003;31/12/2003;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;13,79;20,685
01/10/2003;31/12/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;19,33;28,995
01/10/2003;31/12/2003;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;11,68;17,52
01/10/2003;31/12/2003;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;13,84;20,76
01/10/2003;31/12/2003;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;9,15;13,725
01/10/2003;31/12/2003;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;7,78;11,67
01/10/2003;31/12/2003;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,71;8,565
01/10/2003;31/12/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;17,64;26,46
01/10/2003;31/12/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;16;24
01/10/2003;31/12/2003;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;11,08;16,62
01/10/2003;31/12/2003;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;4,15;6,225
01/01/2004;31/03/2004;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,41;18,615
01/01/2004;31/03/2004;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,5;14,25
01/01/2004;31/03/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;7,32;10,98
01/01/2004;31/03/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;6,07;9,105
01/01/2004;31/03/2004;FACTORING;fino a 50.000 euro;6,61;9,915
01/01/2004;31/03/2004;FACTORING;oltre 50.000 euro;5,67;8,505
01/01/2004;31/03/2004;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;10,03;15,045
01/01/2004;31/03/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;19,28;28,92
01/01/2004;31/03/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;14,37;21,555
01/01/2004;31/03/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;21,2;31,8
01/01/2004;31/03/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;11,97;17,955
01/01/2004;31/03/2004;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;13,99;20,985
01/01/2004;31/03/2004;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;9,25;13,875
01/01/2004;31/03/2004;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;7,82;11,73
01/01/2004;31/03/2004;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,77;8,655
01/01/2004;31/03/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;17,63;26,445
01/01/2004;31/03/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;16,24;24,36
01/01/2004;31/03/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;11,35;17,025
01/01/2004;31/03/2004;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;4,24;6,36
01/04/2004;30/06/2004;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,16;18,24
01/04/2004;30/06/2004;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,42;14,13
01/04/2004;30/06/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;6,89;10,335
01/04/2004;30/06/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;5,83;8,745
01/04/2004;30/06/2004;FACTORING;fino a 50.000 euro;6,62;9,93
01/04/2004;30/06/2004;FACTORING;oltre 50.000 euro;5,44;8,16
01/04/2004;30/06/2004;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;9,8;14,7
01/04/2004;30/06/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;18,84;28,26
01/04/2004;30/06/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;13,73;20,595
01/04/2004;30/06/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;19,82;29,73
01/04/2004;30/06/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;11,94;17,91
01/04/2004;30/06/2004;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;13,91;20,865
01/04/2004;30/06/2004;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;9,16;13,74
01/04/2004;30/06/2004;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;7,67;11,505
01/04/2004;30/06/2004;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,5;8,25
01/04/2004;30/06/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;17,11;25,665
01/04/2004;30/06/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;16,25;24,375
01/04/2004;30/06/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;11,18;16,77
01/04/2004;30/06/2004;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;4,17;6,255
01/07/2004;30/09/2004;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,34;18,51
01/07/2004;30/09/2004;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,47;14,205
01/07/2004;30/09/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;7,08;10,62
01/07/2004;30/09/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;5,84;8,76
01/07/2004;30/09/2004;FACTORING;fino a 50.000 euro;6,18;9,27
01/07/2004;30/09/2004;FACTORING;oltre 50.000 euro;5,34;8,01
01/07/2004;30/09/2004;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;10;15
01/07/2004;30/09/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;18,85;28,275
01/07/2004;30/09/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;13,72;20,58
01/07/2004;30/09/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;20,23;30,345
01/07/2004;30/09/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;11,85;17,775
01/07/2004;30/09/2004;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;13,05;19,575
01/07/2004;30/09/2004;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;8,94;13,41
01/07/2004;30/09/2004;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;7,56;11,34
01/07/2004;30/09/2004;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,6;8,4
01/07/2004;30/09/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;16,77;25,155
01/07/2004;30/09/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;16,04;24,06
01/07/2004;30/09/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;10,84;16,26
01/07/2004;30/09/2004;MUTUI IPOTECARI A TASSO FISSO (dal 1° luglio 2004);intera distribuzione;5,47;8,205
01/07/2004;30/09/2004;MUTUI IPOTECARI A TASSO VARIABILE (dal 1° luglio 2004);intera distribuzione;3,87;5,805
01/10/2004;31/12/2004;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,32;18,48
01/10/2004;31/12/2004;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,44;14,16
01/10/2004;31/12/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;6,73;10,095
01/10/2004;31/12/2004;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;5,75;8,625
01/10/2004;31/12/2004;FACTORING;fino a 50.000 euro;6,5;9,75
01/10/2004;31/12/2004;FACTORING;oltre 50.000 euro;5,27;7,905
01/10/2004;31/12/2004;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;9,83;14,745
01/10/2004;31/12/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;17,84;26,76
01/10/2004;31/12/2004;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;13,53;20,295
01/10/2004;31/12/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;21;31,5
01/10/2004;31/12/2004;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;11,98;17,97
01/10/2004;31/12/2004;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;11,77;17,655
01/10/2004;31/12/2004;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;8,82;13,23
01/10/2004;31/12/2004;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;7,4;11,1
01/10/2004;31/12/2004;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,41;8,115
01/10/2004;31/12/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;16,95;25,425
01/10/2004;31/12/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;15,94;23,91
01/10/2004;31/12/2004;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;10,64;15,96
01/10/2004;31/12/2004;MUTUI IPOTECARI A TASSO FISSO (dal 1° luglio 2004);intera distribuzione;5,43;8,145
01/10/2004;31/12/2004;MUTUI IPOTECARI A TASSO VARIABILE (dal 1° luglio 2004);intera distribuzione;3,84;5,76
01/01/2005;31/03/2005;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,47;18,705
01/01/2005;31/03/2005;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,51;14,265
01/01/2005;31/03/2005;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;6,92;10,38
01/01/2005;31/03/2005;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 5.000 euro;5,74;8,61
01/01/2005;31/03/2005;FACTORING;fino a 50.000 euro;6,04;9,06
01/01/2005;31/03/2005;FACTORING;oltre 50.000 euro;5,17;7,755
01/01/2005;31/03/2005;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;9,95;14,925
01/01/2005;31/03/2005;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 5.000 euro;17,66;26,49
01/01/2005;31/03/2005;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 5.000 euro;13,62;20,43
01/01/2005;31/03/2005;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 5.000 euro;21,19;31,785
01/01/2005;31/03/2005;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 5.000 euro;12,09;18,135
01/01/2005;31/03/2005;LEASING (fino al 31 dicembre 2009);fino a 5.000 euro;13,21;19,815
01/01/2005;31/03/2005;LEASING (fino al 31 dicembre 2009);oltre 5.000 fino a 25.000 euro;8,71;13,065
01/01/2005;31/03/2005;LEASING (fino al 31 dicembre 2009);oltre 25.000 fino a 50.000 euro;7,42;11,13
01/01/2005;31/03/2005;LEASING (fino al 31 dicembre 2009);oltre 50.000 euro;5,4;8,1
01/01/2005;31/03/2005;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);fino a 1.500 euro;16,86;25,29
01/01/2005;31/03/2005;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 1.500 fino a 5.000 euro;15,96;23,94
01/01/2005;31/03/2005;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE E CREDITO REVOLVING (dal 1° luglio 2003 al 31 dicembre 2009);oltre 5.000 euro;10,69;16,035
01/01/2005;31/03/2005;MUTUI IPOTECARI A TASSO FISSO (dal 1° luglio 2004);intera distribuzione;5,56;8,34
01/01/2005;31/03/2005;MUTUI IPOTECARI A TASSO VARIABILE (dal 1° luglio 2004);intera distribuzione;3,86;5,79
01/04/2005;30/06/2005;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 5.000 euro;12,43;18,645
01/04/2005;30/06/2005;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 5.000 euro;9,5;14,25
01/04/2005;30/06/2005;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 5.000 euro;6,87;10,305
