INIZIO_TRIM;FINE_TRIM;CATEGORIA_OPERAZIONI ;CLASSE_IMPORTO;TEGM;SOGLIA 2
01/07/1997;30/09/1997;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;20,66;30,99
01/10/1997;31/12/1997;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;15,05;22,575
01/10/1997;31/12/1997;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;12,34;18,51
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;12,2;18,3
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;10,46;15,69
01/10/1997;31/12/1997;FACTORING;fino a 100 milioni di lire;12,84;19,26
01/10/1997;31/12/1997;FACTORING;oltre 100 milioni di lire;10,65;15,975
01/10/1997;31/12/1997;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;14,2;21,3
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;28,82;43,23
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;21,42;32,13
01/10/1997;31/12/1997;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;22,2;33,3
01/10/1997;31/12/1997;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;19,34;29,01
01/10/1997;31/12/1997;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;23,13;34,695
01/10/1997;31/12/1997;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;15,07;22,605
01/10/1997;31/12/1997;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;12,62;18,93
01/10/1997;31/12/1997;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;10,59;15,885
01/10/1997;31/12/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;30,32;45,48
01/10/1997;31/12/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;22,67;34,005
01/10/1997;31/12/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;15,74;23,61
01/10/1997;31/12/1997;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;9,39;14,085
01/01/1998;31/03/1998;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;15,21;22,815
01/01/1998;31/03/1998;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;12,43;18,645
01/01/1998;31/03/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;12,29;18,435
01/01/1998;31/03/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;10,39;15,585
01/01/1998;31/03/1998;FACTORING;fino a 100 milioni di lire;11,88;17,82
01/01/1998;31/03/1998;FACTORING;oltre 100 milioni di lire;10,68;16,02
